"","importer","imported"
"57","20","PySDM.simulation.physics.constants"
"58","20","PySDM.simulation.physics"
"59","21","numpy"
"60","21","PySDM.simulation.initialisation.spectra"
"61","21","PySDM.simulation.dynamics.coalescence.kernels.golovin"
"62","21","PySDM.backends.default"
"63","21","PySDM.simulation.physics.constants"
"64","21","PySDM.simulation.physics"
"65","22","PySDM.simulation.particles"
"66","22","PySDM.simulation.dynamics.coalescence.algorithms.sdm"
"67","22","PySDM.simulation.environment.box"
"68","22","PySDM.simulation.initialisation.spectral_sampling"
"69","22","examples.Shima_et_al_2009_Fig_2.setup"
"70","22","PySDM.backends.numba.numba"
"71","22","PySDM.backends.thrustRTC.thrustRTC"
"72","22","matplotlib"
"73","24","numpy"
"74","24","PySDM.simulation.particles"
"75","24","PySDM.simulation.dynamics.condensation"
"76","24","PySDM.simulation.environment.moist_lagrangian_parcel_adiabatic"
"77","24","PySDM.simulation.physics"
"78","24","examples.Yang_et_al_2018_Fig_2.setup"
"79","24","PySDM.simulation.initialisation.r_wet_init"
"80","25","PySDM.simulation.initialisation.spectra"
"81","25","PySDM.backends.default"
"82","25","PySDM.simulation.physics.constants"
"83","25","PySDM.simulation.initialisation"
"84","25","PySDM.simulation.particles"
"85","25","numpy"
"86","30","PySDM.backends.numba.numba"
"87","30","SDM.backends.thrustRTC"
"88","30","SDM.backends.pythran"
"89","32","numpy"
"90","32","36"
"91","32","36"
"92","32","PySDM.conf"
"93","33","numpy"
"94","33","36"
"95","33","PySDM.simulation.physics.constants"
"96","33","PySDM.simulation.physics"
"97","33","PySDM.simulation.physics._fake_numba"
"98","33","36"
"99","34","numpy"
"100","34","36"
"101","34","36"
"102","34","PySDM.conf"
"103","35","numpy"
"104","35","36"
"105","35","36"
"106","35","PySDM.conf"
"107","36","PySDM.backends.numba._storage_methods"
"108","36","PySDM.backends.numba._maths_methods"
"109","36","PySDM.backends.numba._physics_methods"
"110","36","PySDM.backends.numba._special_methods"
"111","36","numpy"
"112","37","PySDM.backends.numba.numba"
"113","37","os"
"114","37","PySDM.backends"
"115","37","lib,os"
"116","37","lib.reload(pythran_impl)"
"117","38","numpy"
"118","40","ThrustRTC"
"119","40","CURandRTC"
"120","40","._storage_methods"
"121","41","ThrustRTC"
"122","41","._maths_methods"
"123","42","ThrustRTC"
"124","42","numpy"
"125","42","PySDM.backends.numba.numba"
"126","43","numpy"
"127","43","PySDM.backends.numba.numba"
"128","43","PySDM.conf"
"129","43","._storage_methods"
"130","43","._maths_methods"
"131","43","._special_methods"
"132","47","PySDM.simulation.state.state"
"133","47","numpy"
"134","50","PySDM.simulation.particles"
"135","52","mpmath"
"136","52","numpy"
"137","53","PySDM.simulation.physics"
"138","53","PySDM.simulation.physics.constants"
"139","53","scipy"
"140","53","PySDM.backends.numba.numba"
"141","53","numpy"
"142","53","36"
"143","54","PySDM.simulation.environment._moist_eulerian"
"144","56","numpy"
"145","57","._moist"
"146","57","numpy"
"147","58","._moist"
"148","59","._moist_lagrangian"
"149","60","._moist_lagrangian"
"150","62","numpy"
"151","62","MPyDATA.mpdata_factory"
"152","62","._moist_eulerian"
"153","63","...simulation.particles"
"154","63","...simulation.physics"
"155","63","...simulation.physics"
"156","63","._moist"
"157","63","._moist_lagrangian_parcel"
"158","64",".moist_lagrangian_parcel_adiabatic"
"159","65","._moist_lagrangian_trajectory"
"160","67","numpy"
"161","67","scipy"
"162","67","PySDM.simulation.physics"
"163","68","numpy"
"164","69","scipy.stats"
"165","69","scipy.stats"
"166","69","math"
"167","70","numpy"
"168","71","numpy"
"169","71","..backends.numba.numba"
"170","72","numpy"
"171","72","PySDM.simulation.physics"
"172","72","PySDM.simulation.state.state"
"173","72","PySDM.simulation.state.state_factory"
"174","72","PySDM.simulation.stats"
"175","72","PySDM.simulation.initialisation.r_wet_init"
"176","72","PySDM.simulation.mesh"
"177","74","functools"
"178","77","mendeleev"
"179","77","pint"
"180","77","scipy"
"181","77","PySDM.simulation.physics._fake_unit_registry"
"182","77","PySDM.simulation.physics._flag"
"183","78",""
"184","78","PySDM.simulation.physics"
"185","78","PySDM.simulation.physics"
"186","78","PySDM.simulation.physics"
"187","78","PySDM.backends.numba"
"188","79","PySDM.backends.numba"
"189","79","PySDM.backends.numba.numba"
"190","79","PySDM.simulation.physics"
"191","79","numpy"
"192","81","numpy"
"193","82","numpy"
"194","82","PySDM.simulation.state.state"
"195","83","time"
"196","88","examples.Arabas_and_Shima_2017_Fig_5.example"
"197","88","examples.Arabas_and_Shima_2017_Fig_5.setup"
"198","88","PySDM.simulation.physics"
"199","88","pytest"
"200","88","numpy"
"201","88","itertools"
"202","89","examples.Arabas_and_Shima_2017_Fig_5.example"
"203","89","examples.Arabas_and_Shima_2017_Fig_5.setup"
"204","89","pytest"
"205","89","numpy"
"206","90","examples.Arabas_and_Shima_2017_Fig_5.example"
"207","90","PySDM.simulation.physics"
"208","90","PySDM.simulation.physics"
"209","90","pytest"
"210","90","numpy"
"211","91","examples.Arabas_and_Shima_2017_Fig_5.example"
"212","91","pytest"
"213","93","numpy"
"214","93","matplotlib"
"215","93","examples.ICMW_2012_case_1.setup"
"216","93","examples.ICMW_2012_case_1.example"
"217","93","examples.ICMW_2012_case_1"
"218","93","PySDM.simulation.physics.constants"
"219","94","numpy"
"220","94","examples.ICMW_2012_case_1.setup"
"221","94","examples.ICMW_2012_case_1.example"
"222","94","PySDM.simulation.physics.constants"
"223","94","PySDM.simulation.physics"
"224","94","matplotlib"
"225","95","examples.ICMW_2012_case_1.example"
"226","96","numpy"
"227","96","matplotlib"
"228","96","pytest"
"229","96","examples.ICMW_2012_case_1.setup"
"230","96","examples.ICMW_2012_case_1.example"
"231","96","examples.ICMW_2012_case_1"
"232","96","PySDM.simulation.physics.constants"
"233","98","copy"
"234","98","PySDM.backends.default"
"235","98","PySDM.simulation.particles"
"236","98","PySDM.simulation.particles"
"237","98","PySDM.simulation.dynamics.coalescence.algorithms.sdm"
"238","98","PySDM.simulation.initialisation.spectral_sampling"
"239","98","PySDM.simulation.dynamics.coalescence.kernels.golovin"
"240","98","PySDM.simulation.initialisation.spectra"
"241","98","PySDM.simulation.environment.box"
"242","100","examples.Yang_et_al_2018_Fig_2.example"
"243","100","examples.Yang_et_al_2018_Fig_2.setup"
"244","100","PySDM.simulation.physics.constants"
"245","100","matplotlib.pyplot"
"246","100","scipy"
"247","100","numpy"
"248","101","examples.Yang_et_al_2018_Fig_2.example"
"249","101","examples.Yang_et_al_2018_Fig_2.setup"
"250","101","PySDM.simulation.physics.constants"
"251","101","PySDM.simulation.physics"
"252","101","matplotlib.pyplot"
"253","101","numpy"
"254","104","pytest"
"255","105","pytest"
"256","105","numpy"
"257","105","PySDM.backends.default"
"258","105","PySDM.backends.numba.numba"
"259","105","PySDM.backends.thrustRTC.thrustRTC"
"260","105","PySDM"
"261","105","tests.unit_tests.backends.__parametrisation__"
"262","110","PySDM.backends.default"
"263","110","tests.unit_tests.simulation.state.dummy_particles"
"264","110","PySDM.simulation.dynamics.advection"
"265","110","PySDM.simulation.state.state_factory"
"266","110","numpy"
"267","110","tests.unit_tests.simulation.dynamics.advection.dummy_environment"
"268","112","pytest"
"269","112","numpy"
"270","114","PySDM.backends.default"
"271","114","tests.unit_tests.simulation.dynamics.coalescence.__parametrisation__"
"272","115","PySDM.simulation.dynamics.coalescence.algorithms.sdm"
"273","115","tests.unit_tests.simulation.state.testable_state_factory"
"274","115","tests.unit_tests.simulation.state.dummy_particles"
"275","115","PySDM.backends.default"
"276","115","PySDM.simulation.environment.box"
"277","115","numpy"
"278","115","pytest"
"279","115","tests.unit_tests.simulation.dynamics.coalescence.__parametrisation__"
"280","115","tests.unit_tests.simulation.dynamics.coalescence.__parametrisation__"
"281","115","PySDM.backends.default"
"282","116","PySDM.simulation.dynamics.coalescence.kernels.golovin"
"283","116","numpy"
"284","116","pytest"
"285","118","PySDM.simulation.initialisation.spectra"
"286","118","numpy"
"287","118","numpy.testing"
"288","118","pytest"
"289","118","matplotlib"
"290","119","PySDM.simulation.initialisation.spectral_sampling"
"291","119","PySDM.simulation.initialisation.spectra"
"292","119","numpy"
"293","119","pytest"
"294","121","PySDM.simulation.physics.dimensional_analysis"
"295","121","PySDM.simulation.physics"
"296","122","PySDM.simulation.physics"
"297","122","PySDM.simulation.physics.dimensional_analysis"
"298","122","PySDM.simulation.physics"
"299","124","PySDM.simulation.particles"
"300","124","PySDM.simulation.mesh"
"301","125","numpy"
"302","125","tests.unit_tests.simulation.state.testable_state_factory"
"303","125","PySDM.simulation.particles"
"304","125","tests.unit_tests.simulation.state.dummy_particles"
"305","125","PySDM.simulation.initialisation.spectra"
"306","125","PySDM.simulation.initialisation.spectral_sampling"
"307","125","PySDM.backends.default"
"308","126","tests.unit_tests.simulation.state.testable_state_factory"
"309","126","tests.unit_tests.simulation.state.dummy_particles"
"310","126","tests.unit_tests.simulation.dynamics.advection.dummy_environment"
"311","126","PySDM.backends.default"
"312","126","numpy"
"313","126","pytest"
"314","127","PySDM.simulation.state.state"
"315","128","numpy"
"316","128","PySDM.simulation.state.state_factory"
"317","128","tests.unit_tests.simulation.state.testable_state"
"318","129","PySDM.backends.default"
"319","129","PySDM.simulation.particles"
