"","project_files","project_names","file_sizes","file_types","import_counts"
"21","ClassificationAndRegression/GeneralizedLinearModels/Lasso.py","Lasso",999,"Python",4
"22","ClassificationAndRegression/GeneralizedLinearModels/LogisticRegression.py","LogisticRegression",4440,"Python",5
"23","ClassificationAndRegression/GeneralizedLinearModels/MultipleLinearRegression.py","MultipleLinearRegression",2358,"Python",1
"24","ClassificationAndRegression/GeneralizedLinearModels/MultiTaskElasticNet.py","MultiTaskElasticNet",1375,"Python",4
"25","ClassificationAndRegression/GeneralizedLinearModels/MultiTaskLasso.py","MultiTaskLasso",1409,"Python",4
"26","ClassificationAndRegression/GeneralizedLinearModels/OrdinaryLeastSquares.py","OrdinaryLeastSquares",1365,"Python",4
"27","ClassificationAndRegression/GeneralizedLinearModels/OrthogonalMatchingPursuit.py","OrthogonalMatchingPursuit",1175,"Python",5
"28","ClassificationAndRegression/GeneralizedLinearModels/PassiveAggressiveClassification.py","PassiveAggressiveClassification",1683,"Python",5
"29","ClassificationAndRegression/GeneralizedLinearModels/PassiveAggressiveRegression.py","PassiveAggressiveRegression",1233,"Python",4
"30","ClassificationAndRegression/GeneralizedLinearModels/Perceptron.py","Perceptron",1666,"Python",5
"31","ClassificationAndRegression/GeneralizedLinearModels/PolynomialRegression.py","PolynomialRegression",1251,"Python",6
"32","ClassificationAndRegression/GeneralizedLinearModels/RANSAC.py","RANSAC",2006,"Python",5
"33","ClassificationAndRegression/GeneralizedLinearModels/RidgeRegression.py","RidgeRegression",1405,"Python",4
"34","ClassificationAndRegression/GeneralizedLinearModels/SimpleLinearRegression.py","SimpleLinearRegression",2254,"Python",2
"35","ClassificationAndRegression/GeneralizedLinearModels/StochasticGradientDescent.py","StochasticGradientDescent",1689,"Python",5
"36","ClassificationAndRegression/GeneralizedLinearModels/TestDataset.csv","TestDataset",1883,"Other",0
"37","ClassificationAndRegression/GeneralizedLinearModels/TheilSen.py","TheilSen",1782,"Python",5
"38","ClassificationAndRegression/IsotonicRegression/IsotonicRegression.py","IsotonicRegression",726,"Python",2
"39","ClassificationAndRegression/KernelRidgeRegression/KernelRidgeRegression.py","KernelRidgeRegression",878,"Python",5
"40","ClassificationAndRegression/LinearAndQuadraticDiscriminantAnalysis/LinearDiscriminantAnalysis.py","LinearDiscriminantAnalysis",1467,"Python",4
"41","ClassificationAndRegression/LinearAndQuadraticDiscriminantAnalysis/QudraticDiscriminantAnalysis.py","QudraticDiscriminantAnalysis",1098,"Python",4
"42","ClassificationAndRegression/NaiveBayes/NaiveBayes.py","NaiveBayes",854,"Python",1
"43","ClassificationAndRegression/NearestNeighbors/IBk.py","IBk",1984,"Python",2
"44","ClassificationAndRegression/NearestNeighbors/iris.csv","iris",4125,"Other",0
"45","ClassificationAndRegression/NearestNeighbors/KNNIris.py","KNNIris",875,"Python",4
"46","ClassificationAndRegression/NearestNeighbors/NearestCentroidClassification.py","NearestCentroidClassification",1387,"Python",4
"47","ClassificationAndRegression/SemiSupervised/LabelSpreading.py","LabelSpreading",3537,"Python",3
"48","ClassificationAndRegression/StochasticGradientDescent/SGDClassification.py","SGDClassification",1440,"Python",6
"49","ClassificationAndRegression/SupportVectorMachines/DigitsCV.py","DigitsCV",516,"Python",3
"50","ClassificationAndRegression/SupportVectorMachines/DigitsSVC.py","DigitsSVC",1709,"Python",5
"51","ClassificationAndRegression/SupportVectorMachines/SVCDecisionBoundaries.py","SVCDecisionBoundaries",1747,"Python",3
"52","ClassificationAndRegression/SupportVectorMachines/SVMMargin.py","SVMMargin",1028,"Python",3
"53","ClassificationAndRegression/SupportVectorMachines/SVMPipeline.py","SVMPipeline",811,"Python",2
"54","DimensionalityReduction/PCA/PCA.py","PCA",1895,"Python",1
"55","LICENSE","LICENSE",1091,"Other",0
"56","LossFunctions/LogisticLoss.py","LogisticLoss",438,"Python",1
"57","LossFunctions/MeanSquaredError.py","MeanSquaredError",379,"Python",1
"58","ModelSelectionAndEvaluation/CrossValidation/CrossValidation.py","CrossValidation",574,"Python",1
"59","ModelSelectionAndEvaluation/CrossValidation/DatasetSplit.py","DatasetSplit",340,"Python",1
"60","ModelSelectionAndEvaluation/HyperParameterTuning/ExhaustiveGridSearch.py","ExhaustiveGridSearch",881,"Python",4
"61","ModelSelectionAndEvaluation/ModelEvaluation/CustomScoring.py","CustomScoring",902,"Python",6
"62","ModelSelectionAndEvaluation/ModelEvaluation/CustomScoringFunction.py","CustomScoringFunction",176,"Python",1
"63","README.md","README",85,"Other",0
"64","SOTAAlgorithmsImplementation/AcceleratedGradientBoosting.py","AcceleratedGradientBoosting",6214,"Python",4
